user_id,total_spending,avg_transaction,transaction_count,std_amount,max_transaction,weekend_ratio,night_ratio,unique_categories,cat_bought_for_myself,cat_cafe,cat_clothes,cat_fines,cat_food,cat_gifts,cat_health,cat_job,cat_leisure,cat_loan_given,cat_other,cat_public_transport,cat_taxi,cat_university,dominant_payment,impulse_score,cluster,spending_persona
USER_199,4.0,4.0,1,0.0,4.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Unknown,0.5,1,Impulsive Spender
USER_2,1.0,1.0,1,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_20,1.0,1.0,1,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_200,3.0,3.0,1,0.0,3.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_201,1.0,1.0,1,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_202,2.0,2.0,1,0.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_203,2.0,2.0,1,0.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_204,31.0,31.0,1,0.0,31.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_205,5.0,5.0,1,0.0,5.0,0.0,1.0,1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.5,1,Impulsive Spender
USER_206,88.0,88.0,1,0.0,88.0,0.0,0.0,1,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_207,1129.0,1129.0,1,0.0,1129.0,0.0,0.0,1,1129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,2,Emotional Spender
USER_208,1.0,1.0,1,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0,Rational Spender
USER_209,1.0,1.0,1,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Unknown,0.0,0,Rational Spender
